id,Ep,l,r,h,litho
169,0.07,39.52,39.59,5.5,C
170,1.23,39.59,40.82,5.5,C
171,0.25,40.82,41.07,5.5,C
172,0.25,41.07,41.32,5.5,C
173,0.02,41.32,41.34,5.5,C
174,0.23,41.34,41.57,5.5,C
175,1.53,41.57,43.1,5.5,C
176,0.82,43.1,43.92,5.5,C
177,1.8,43.92,45.72,5.5,C
178,2,45.72,47.72,5.5,C
179,0.32,47.72,48.04,5.5,C
180,0.31,48.04,48.35,5.5,C
181,0.03,48.35,48.38,4.5,C
182,0.04,48.38,48.42,4.5,C
183,0.04,48.42,48.46,4.5,C
184,0.03,48.46,48.49,4.5,C
185,0.05,48.49,48.54,4.5,C
186,0.04,48.54,48.58,4.5,C
187,0.03,48.58,48.61,4.5,C
188,0.14,48.61,48.75,5,C
189,0.13,48.75,48.88,5,C
190,0.02,48.88,48.9,5,C
191,0.25,48.9,49.15,5,C
192,0.1,49.15,49.25,5,C
193,0.15,49.25,49.4,5,C
194,0.05,49.4,49.45,5,C
195,0.05,49.45,49.5,5,C
196,0.05,49.5,49.55,5,C
197,0.05,49.55,49.6,5,C
198,0.05,49.6,49.65,5,C
199,0.2,49.65,49.85,5,C
200,0.2,49.85,50.05,5,C
201,0.15,50.05,50.2,5,C
202,0.15,50.2,50.35,5,C
203,0.13,50.35,50.48,5,C
204,0.07,50.48,50.55,5,C
205,0.05,50.55,50.6,5,C
206,0.05,50.6,50.65,5,C
207,0.05,50.65,50.7,5,C
208,0.05,50.7,50.75,5,C
209,0.05,50.75,50.8,5,C
210,0.06,50.8,50.86,5,C
211,0.03,50.86,50.89,4.5,C
212,0.04,50.89,50.93,4.5,C
213,0.03,50.93,50.96,4.5,C
214,0.04,50.96,51,4.5,C
215,0.03,51,51.03,4.5,C
216,0.04,51.03,51.07,4.5,C
217,0.03,51.07,51.1,4.5,C
218,0.04,51.1,51.14,4.5,C
219,0.03,51.14,51.17,4.5,C
220,0.04,51.17,51.21,4.5,C
221,0.03,51.21,51.24,4.5,C
222,0.04,51.24,51.28,4.5,C
223,0.03,51.28,51.31,4.5,C
224,0.04,51.31,51.35,4.5,C
225,0.03,51.35,51.38,4.5,C
226,0.04,51.38,51.42,4.5,C
227,0.03,51.42,51.45,4.5,C
228,0.04,51.45,51.49,4.5,C
229,0.03,51.49,51.52,4.5,C
230,0.04,51.52,51.56,4.5,C
231,0.03,51.56,51.59,4.5,C
232,0.04,51.59,51.63,4.5,C
